NCED Sonar Capture - Text Output File (Tab and Comma delineated),,,,,,,,,
15:20:42,8/6/15,,,,,,,,
RunName,E:\DATA\Ricardo-sonar\20150806-16000-20lps-eq\16000-eq,,,,,,,,
Sample Interval (sec),5,,,,,,,,
Samples Per Probe,1,,,,,,,,
Water Temp in C,21.2,,,,,,,,
Water Height,290,,,,,,,,
,,,,,,,,,
Transducer Locations,,,,VariGains Not Used,,Moved,This file is to computed the 20lps-16kg run fluctuations because the sonars moved and the distance is not recorded.,,
Transducer #,X,Y,Z,dB,,,,,
Transducer 1,768,0,264,0,,,,,
Transducer 2,668,0,286,0,,,,,
Transducer 3,868,0,243,0,,yes,,,
Transducer 4,568,0,293,0,,,,,
Transducer 5,468,0,314,0,,yes,,,
Transducer 6,368,0,337,0,,yes,,,
,,,,,,,,,
"PULSER SETTINGS:, Rcvr  Echo, LPF   3  , HPF   1, Trig  External, PRF   100, DMP   333, Volts 900, Enrgy 3, Impd  Low, Gain  0,(Gain may change from above value dynamically - check PingHeaders.)",,,,,,,,,
,,,,,,,,,
Pass,RunTime,RunSeconds,ContinuousSec,Probe_1,Probe_2,Probe_3,Probe_4,Probe_5,Probe_6
340, 0:30:10,1809.8,1821.9,204.1,227.1,183.3,237.6,261.8,290
341, 0:30:15,1814.8,1826.8,204.2,228.9,183.3,237.2,260.8,290.3
342, 0:30:20,1819.8,1831.8,197.6,227,183.3,241.1,262.3,287.6
343, 0:30:25,1824.7,1836.7,201.4,225.9,186.5,240.4,260.9,287.9
344, 0:30:30,1829.7,1841.7,202.7,228.3,184.6,237.6,261.1,288.1
345, 0:30:35,1834.7,1846.7,204.7,228.7,182.6,235.9,261.1,288.1
346, 0:30:40,1839.7,1851.7,204.6,228.6,182.2,240.5,263.8,288.6
347, 0:30:45,1844.6,1856.7,200.2,226.3,186.5,239.6,261.8,289.6
348, 0:30:50,1849.6,1861.6,202.8,229,183.3,239.6,262.2,289.8
349, 0:30:55,1854.6,1866.6,201.1,231.8,183.5,234.9,260.1,286.7
350, 0:31:00,1859.6,1871.6,201.3,227.1,184.8,238.7,263.7,290.8
351, 0:31:05,1864.6,1876.6,204.6,230.2,184.4,237.6,261.8,289.7
352, 0:31:11,1870.5,1882.5,202,228.1,184.5,239.6,262.5,292.9
353, 0:31:15,1875,1887.1,205.3,229,187.3,239.4,262.4,287.1
354, 0:31:20,1879.6,1891.7,200.8,226,183.2,241,263.5,289.1
355, 0:31:25,1885.1,1897.1,204.9,228.5,187.6,236.7,259.3,289.3
356, 0:31:30,1890.1,1902.1,201.5,228.4,185,237.9,262.1,288.6
357, 0:31:35,1895.2,1907.2,200.3,227,183.8,237.1,263.7,288.7
358, 0:31:40,1899.8,1911.8,203,226.2,187.1,237,264.1,288.5
359, 0:31:45,1904.7,1916.7,205.7,229.6,186.5,239.4,263.5,290.6
360, 0:31:50,1909.7,1921.7,204.3,228.6,183.9,236.5,263.3,289.1
361, 0:31:55,1914.7,1926.7,203.2,230.4,183.9,236.7,263.2,288
362, 0:32:00,1919.7,1931.7,203.5,230.7,185.9,237.3,262.4,289.3
363, 0:32:05,1924.6,1936.7,201.6,227.1,186.7,238.9,261.1,288.5
364, 0:32:10,1929.7,1941.7,204.7,226.1,185.9,239.5,260.8,288.6
365, 0:32:15,1934.7,1946.7,203.7,228.8,184,237.8,261,289.7
366, 0:32:20,1939.7,1951.7,203,227.4,184.4,237.6,260.8,288.6
367, 0:32:25,1944.6,1956.7,204.8,227.4,185.7,239.1,261.7,288.6
368, 0:32:30,1949.7,1961.7,201.1,228.9,188.5,237.7,260.1,288
369, 0:32:35,1955.1,1967.2,202.8,231.2,185.3,237.3,264.3,288.8
370, 0:32:40,1960.2,1972.2,204.9,230.4,186.7,235.9,260.5,291.2
371, 0:32:45,1965.2,1977.2,209.7,227.1,184.1,236.2,264.4,291
372, 0:32:50,1969.8,1981.8,203.7,231.8,186.7,242.7,262.4,290.8
373, 0:32:55,1974.8,1986.8,203.1,228.3,185.8,241.6,264,289.2
374, 0:33:00,1979.8,1991.8,205.6,227.8,186,240.2,261.8,290.8
375, 0:33:05,1984.8,1996.8,207.5,226.4,184.5,236.2,263.2,288.3
376, 0:33:10,1989.7,2001.8,205.4,227,183.6,237.8,262.1,287.4
377, 0:33:15,1994.7,2006.7,203.4,227.7,186.6,239.8,263.2,288.5
378, 0:33:20,2000.1,2012.2,204.3,227.1,184.9,238.8,263.5,288
379, 0:33:25,2004.8,2016.8,206,227.9,184.7,236.7,263.4,291.4
380, 0:33:30,2009.8,2021.8,204.6,230.4,187.8,238,263.2,291.7
381, 0:33:35,2014.8,2026.8,204.3,226.9,186,239.1,265.3,289.7
